YEAR,MO,DY,QV2M,RH2M,PRECTOTCORR
1990,8,1,16.42,64.31,1.11
1990,8,2,15.87,62.88,1.29
1990,8,3,16.17,64.25,0.25
1990,8,4,16.36,64.06,0.17
1990,8,5,16.72,65.5,0.04
1990,8,6,17.64,72.25,3.07
1990,8,7,17.58,78.75,10.9
1990,8,8,18.07,79.25,2.24
1990,8,9,18.07,81.31,2.59
1990,8,10,18.62,82.56,41.33
1990,8,11,18.68,80.81,7.49
1990,8,12,17.64,77,2.88
1990,8,13,17.4,81.12,3.85
1990,8,14,17.15,81.81,15.88
1990,8,15,17.33,83.56,17.16
1990,8,16,17.58,80.44,17.59
1990,8,17,17.4,76.06,0.81
1990,8,18,17.15,74.06,0.93
1990,8,19,17.03,76.88,0.99
1990,8,20,17.03,78.06,5.56
1990,8,21,16.97,78.31,5.82
1990,8,22,16.97,76.88,1.64
1990,8,23,17.27,73.31,1.49
1990,8,24,17.09,72.06,0.64
1990,8,25,17.58,73.31,0.02
1990,8,26,17.76,74.62,0.22
1990,8,27,17.64,75.69,1.73
1990,8,28,17.46,81.25,3.23
1990,8,29,16.78,84.19,5.42
1990,8,30,15.99,72.5,0.28
1990,8,31,16.6,70.94,1.41
1990,9,1,16.97,74.06,0.34
1990,9,2,17.03,71.62,0.17
1990,9,3,16.91,76.31,0.2
1990,9,4,17.15,73.88,0.23
1990,9,5,17.21,75,3.82
1990,9,6,17.94,78.62,18.74
1990,9,7,17.76,80.19,8.75
1990,9,8,17.76,80.25,5.8
1990,9,9,17.82,78.19,6.88
1990,9,10,17.88,80.56,4.38
1990,9,11,17.88,84.56,2.02
1990,9,12,16.91,82.56,2
1990,9,13,16.85,83.25,1.06
1990,9,14,17.64,80.25,0.23
1990,9,15,17.82,77.56,0.07
1990,9,16,17.64,75.06,0.07
1990,9,17,17.94,74.12,0.27
1990,9,18,18.07,74.62,0.04
1990,9,19,17.33,73.75,0.69
1990,9,20,16.54,71.38,2.25
1990,9,21,16.66,70.25,1.12
1990,9,22,16.97,72.5,0.14
1990,9,23,17.27,70.75,1.2
1990,9,24,17.88,76.5,9.81
1990,9,25,17.58,77.12,1.95
1990,9,26,16.78,75.38,3.33
1990,9,27,17.4,75.69,3.73
1990,9,28,18.74,88.19,7.65
1990,9,29,17.94,83.81,2.68
1990,9,30,17.88,86.56,3.28
1990,10,1,18.25,86.88,29.61
1990,10,2,18.19,88.81,13.58
1990,10,3,17.7,83.06,10.65
1990,10,4,17.76,84,2.1
1990,10,5,16.97,77.56,0.43
1990,10,6,16.54,76,0.01
1990,10,7,17.33,78.12,0.41
1990,10,8,17.88,79.88,1.21
1990,10,9,18.25,79.56,1.45
1990,10,10,18.01,80.38,1.14
1990,10,11,18.19,81.56,0.47
1990,10,12,17.82,79.5,2.13
1990,10,13,18.13,85.12,6
1990,10,14,17.33,81.38,0.98
1990,10,15,17.52,82.56,1.58
1990,10,16,15.14,76.25,0.88
1990,10,17,14.53,74,0.28
1990,10,18,14.59,72.69,0.36
1990,10,19,13.73,70.12,1.78
1990,10,20,13.37,69.19,0.16
1990,10,21,13.49,67,0
1990,10,22,16.24,82.19,0.52
1990,10,23,17.88,88.31,11.81
1990,10,24,18.25,91.69,9.98
1990,10,25,17.21,89.56,19.24
1990,10,26,17.09,87.81,3.63
1990,10,27,17.27,88.44,1.35
1990,10,28,17.33,87.19,1.03
1990,10,29,16.72,84.38,4.39
1990,10,30,16.24,82.31,3.1
1990,10,31,15.99,81.81,2.86
1990,11,1,16.3,82.75,2.13
1990,11,2,14.53,79.31,3.33
1990,11,3,14.47,76.75,0.74
1990,11,4,15.14,79,0.03
1990,11,5,16.78,79.69,0.47
1990,11,6,17.21,78.62,0.12
1990,11,7,16.85,78.62,0
1990,11,8,13.73,70.25,0.21
1990,11,9,11.72,66.06,0.13
1990,11,10,11.23,65.75,0
1990,11,11,9.89,62.25,0
1990,11,12,9.46,62.5,0
1990,11,13,14.28,74.06,0
1990,11,14,16.42,82.44,0.35
1990,11,15,15.87,78.94,0.05
1990,11,16,16.24,78.75,2.63
1990,11,17,15.62,76.19,1.06
1990,11,18,15.38,74.62,0
1990,11,19,15.26,74.12,0
1990,11,20,15.08,75.12,0
1990,11,21,13.18,70.5,0
1990,11,22,13.79,77.62,0.42
1990,11,23,15.08,76.06,0.04
1990,11,24,15.99,79.69,1.77
1990,11,25,15.99,80.5,1.24
1990,11,26,14.89,76.25,1.31
1990,11,27,15.38,80.38,0.18
1990,11,28,14.04,72.88,0
1990,11,29,13.85,69.94,0
1990,11,30,13.67,69.56,0
1990,12,1,13.37,70.5,0
1990,12,2,13.55,73,0
1990,12,3,12.76,70.94,0
1990,12,4,13.73,73.62,0
1990,12,5,13.18,70.62,0
1990,12,6,12.82,68.56,0.01
1990,12,7,13.61,71.88,0
1990,12,8,13.37,71.25,0
1990,12,9,13.37,74.5,0
1990,12,10,12.82,70.38,0
1990,12,11,12.57,70.25,0
1990,12,12,11.96,67.81,0
1990,12,13,11.05,65.69,0
1990,12,14,11.54,68.56,0
1990,12,15,11.05,67,0
1990,12,16,9.7,58.94,0
1990,12,17,9.95,55.75,0
1990,12,18,10.07,60.81,0.02
1990,12,19,10.31,61.12,0
1990,12,20,12.76,70.06,0
1990,12,21,12.08,65.38,0
1990,12,22,12.27,66.94,0
1990,12,23,12.82,68.94,0
1990,12,24,10.07,58.25,0.05
1990,12,25,9.58,61.31,0.02
1990,12,26,9.4,62.56,0
1990,12,27,9.52,62.44,0
1990,12,28,9.03,62.88,0
1990,12,29,9.28,63.69,0
1990,12,30,12.94,73.12,0
1990,12,31,14.65,72.81,0
1991,1,1,14.34,69.12,0.11
1991,1,2,11.41,58.69,1.32
1991,1,3,5.07,34.44,0.03
1991,1,4,6.35,41.5,0
1991,1,5,13,71.31,0
1991,1,6,13.24,70.38,0
1991,1,7,12.27,65.75,0
1991,1,8,11.9,65.62,0
1991,1,9,11.11,64.81,0
1991,1,10,11.17,64.94,0
1991,1,11,12.45,66.88,0
1991,1,12,12.21,64.12,0
1991,1,13,11.6,60.5,0
1991,1,14,11.47,60.38,0
1991,1,15,11.35,61.56,0
1991,1,16,11.66,63.81,0
1991,1,17,12.08,63.38,0
1991,1,18,12.08,62.88,0
1991,1,19,11.6,60.25,0
1991,1,20,10.99,56.69,0
1991,1,21,10.56,55.31,0
1991,1,22,10.44,55.38,0
1991,1,23,11.17,59.12,0
1991,1,24,10.5,55.69,0
1991,1,25,11.11,59.44,0
1991,1,26,9.52,52.12,0
1991,1,27,7.2,37.31,0
1991,1,28,4.76,25.5,0
1991,1,29,4.76,26.75,0
1991,1,30,10.68,59.81,0
1991,1,31,9.58,55,0
1991,2,1,8.24,49.75,0
1991,2,2,10.13,55.44,0
1991,2,3,11.47,55.88,0
1991,2,4,10.13,49.25,0
1991,2,5,10.38,54.56,0
1991,2,6,11.54,59.62,0
1991,2,7,10.74,55.62,0
1991,2,8,10.07,51.81,0
1991,2,9,8.85,43.38,0
1991,2,10,8.06,39.56,0
1991,2,11,8.06,38.69,0
1991,2,12,8.61,41.69,0
1991,2,13,8.36,40.88,0
1991,2,14,8.12,39.25,0
1991,2,15,8.42,41.12,0
1991,2,16,7.45,34.12,0
1991,2,17,8.97,43.12,0
1991,2,18,9.77,47.44,0
1991,2,19,10.62,48.31,0
1991,2,20,11.78,54.31,0
1991,2,21,12.45,58.5,0
1991,2,22,9.95,51.69,0
1991,2,23,8,45.25,0
1991,2,24,9.83,52.31,0
1991,2,25,11.05,56.94,0
1991,2,26,11.17,56.69,0
1991,2,27,12.51,57.88,0
1991,2,28,11.84,53.06,0
1991,3,1,11.35,52,0
1991,3,2,11.78,52.69,0
1991,3,3,11.96,53.5,0
1991,3,4,10.74,49.38,0
1991,3,5,10.86,48.38,0
1991,3,6,11.47,49.81,0
1991,3,7,12.88,51.56,0
1991,3,8,13.61,55.69,0
1991,3,9,13.06,54.12,0.02
1991,3,10,11.54,47.31,0
1991,3,11,10.19,40.62,0
1991,3,12,10.44,40.88,0
1991,3,13,10.56,43.69,0
1991,3,14,11.23,48,0
1991,3,15,12.15,53.69,0
1991,3,16,12.02,52.56,0
1991,3,17,10.38,46.19,0
1991,3,18,7.69,29.94,0
1991,3,19,7.69,28.69,0
1991,3,20,8.91,31.06,0
1991,3,21,10.8,38.81,0
1991,3,22,11.9,46.56,0
1991,3,23,9.58,38.25,0
1991,3,24,9.89,42.06,0
1991,3,25,11.72,47.81,0
1991,3,26,13.06,52.56,0
1991,3,27,12.94,52.81,0
1991,3,28,12.39,50,0
1991,3,29,10.56,41.12,0
1991,3,30,9.7,35.31,0
1991,3,31,10.44,36.62,0
1991,4,1,12.02,43,0
1991,4,2,13.24,49.19,0
1991,4,3,13.92,52.44,0
1991,4,4,13.06,50.19,0
1991,4,5,10.8,38,0
1991,4,6,11.6,42.81,0
1991,4,7,12.51,46.44,0
1991,4,8,13,46.06,0
1991,4,9,12.45,41.75,0
1991,4,10,11.23,35.88,0
1991,4,11,12.45,41.94,0
1991,4,12,12.94,45.62,0.01
1991,4,13,13.79,50.44,0
1991,4,14,14.47,51.88,0
1991,4,15,12.45,43.94,0
1991,4,16,11.47,36.56,0
1991,4,17,12.7,39.94,0
1991,4,18,12.39,41,0
1991,4,19,11.6,38.5,0
1991,4,20,11.35,34.75,0
1991,4,21,12.63,40.94,0
1991,4,22,13.31,44.62,3.05
1991,4,23,13.92,48.88,1.92
1991,4,24,13.55,45.62,0
1991,4,25,12.94,42,0
1991,4,26,13.12,42.12,0
1991,4,27,12.51,39.69,0
1991,4,28,11.9,37.12,0
1991,4,29,9.16,26.81,0
1991,4,30,8.85,26.56,0
1991,5,1,7.93,19.88,0
1991,5,2,7.2,18.62,0
1991,5,3,7.93,23.5,0
1991,5,4,15.2,46.31,0
1991,5,5,14.71,42.44,0
1991,5,6,14.34,40.88,0
1991,5,7,13.49,33.62,0
1991,5,8,13.79,34.5,0
1991,5,9,13.37,32.94,0
1991,5,10,12.7,30.75,0
1991,5,11,13.85,39.94,0
1991,5,12,13.85,43.25,0
1991,5,13,13.73,43,0
1991,5,14,13.49,41.5,0
1991,5,15,13.61,42.88,0
1991,5,16,13.43,42.62,0
1991,5,17,13.24,42.38,0
1991,5,18,11.54,32.19,0
1991,5,19,11.96,31.88,0
1991,5,20,13.43,38.62,0
1991,5,21,13.31,40.19,0
1991,5,22,14.04,40.56,0
1991,5,23,13.61,37.44,0
1991,5,24,14.4,38.31,0
1991,5,25,12.88,33.62,0
1991,5,26,13.31,35.62,0
1991,5,27,14.4,42.31,0
1991,5,28,14.04,41.38,0
1991,5,29,14.53,43.81,0
1991,5,30,15.38,49.69,0
1991,5,31,14.71,45.62,0.05
1991,6,1,14.65,46.06,0.05
1991,6,2,14.65,45.75,0.09
1991,6,3,15.38,50.25,0.36
1991,6,4,16.91,57.94,1.58
1991,6,5,16.78,60.94,14.29
1991,6,6,20.45,79.62,68.78
1991,6,7,19.47,77.94,8.43
1991,6,8,18.68,76.81,23.37
1991,6,9,18.19,73.06,1.64
1991,6,10,18.13,69.94,1.89
1991,6,11,18.31,72.44,4.39
1991,6,12,19.17,78.94,30.38
1991,6,13,18.37,75.38,9.11
1991,6,14,18.07,77.94,2.04
1991,6,15,17.46,71.69,1.2
1991,6,16,17.88,78.06,3.23
1991,6,17,16.97,66.06,0.38
1991,6,18,16.17,64.75,0
1991,6,19,16.3,64.5,0.01
1991,6,20,17.21,65.88,1.93
1991,6,21,18.55,68.88,5.57
1991,6,22,19.78,75.62,9.08
1991,6,23,18.98,77.94,0.78
1991,6,24,18.31,76.06,2.1
1991,6,25,18.19,79.38,2.68
1991,6,26,18.19,79.69,2.22
1991,6,27,18.13,76.38,5.94
1991,6,28,19.04,85.19,0.85
1991,6,29,18.92,81.75,5.1
1991,6,30,16.91,75,1.33
1991,7,1,16.91,72.12,0.45
1991,7,2,18.19,75.69,4.56
1991,7,3,17.82,77.75,9.21
1991,7,4,16.72,77.75,1.19
1991,7,5,16.6,73.81,7.17
1991,7,6,16.42,75.88,4.05
1991,7,7,16.48,76.94,6.43
1991,7,8,18.37,84.62,13.06
1991,7,9,18.43,79.5,12.4
1991,7,10,17.7,81.81,20.36
1991,7,11,18.19,81.19,6.68
1991,7,12,17.27,78.12,5.89
1991,7,13,17.64,75.44,1.13
1991,7,14,18.13,77.88,3.12
1991,7,15,18.13,81.69,2.84
1991,7,16,17.64,83.31,2.76
1991,7,17,17.46,78.12,3.89
1991,7,18,17.58,76.56,2.92
1991,7,19,17.33,73.69,0.08
1991,7,20,17.58,73.62,0.11
1991,7,21,17.58,72.12,0.06
1991,7,22,16.78,70.44,0.12
1991,7,23,16.78,71.19,0
1991,7,24,17.03,71.06,0
1991,7,25,17.15,70.75,0.29
1991,7,26,16.85,68.94,0.26
1991,7,27,16.91,69.75,0.27
1991,7,28,17.27,75.88,0.81
1991,7,29,16.85,76.25,0.62
1991,7,30,16.36,67.19,0.35
1991,7,31,16.66,67.44,0.01
1991,8,1,17.64,76.25,5.17
1991,8,2,17.33,72.25,4.81
1991,8,3,18.19,80.44,30.88
1991,8,4,18.19,81.75,6.9
1991,8,5,17.58,82.56,5.11
1991,8,6,17.46,81.38,4.81
1991,8,7,17.58,81.56,8.28
1991,8,8,17.27,82,3.54
1991,8,9,17.46,78.94,16.44
1991,8,10,17.58,77.62,5.15
1991,8,11,17.64,76.69,0.31
1991,8,12,17.58,78.44,5.91
1991,8,13,17.64,79.38,3.84
1991,8,14,17.09,75.25,2.25
1991,8,15,17.09,76.06,3.28
1991,8,16,17.03,78.38,3.64
1991,8,17,17.21,75.88,0.82
1991,8,18,17.64,77.5,9.32
1991,8,19,17.33,74.94,2.38
1991,8,20,17.4,74.06,0.09
1991,8,21,17.7,77.12,7.23
1991,8,22,17.46,79.5,4.58
1991,8,23,17.46,78.12,2.36
1991,8,24,17.03,76.5,0.08
1991,8,25,16.6,75.81,0.18
1991,8,26,16.6,72.62,0.07
1991,8,27,16.54,73.56,0.63
1991,8,28,16.66,73,0.7
1991,8,29,16.42,71.06,0.15
1991,8,30,16.3,70.31,0.03
1991,8,31,16.17,71.12,0.01
1991,9,1,16.85,70.12,0.01
1991,9,2,16.97,71.19,0
1991,9,3,17.09,69.94,0.04
1991,9,4,17.33,71.25,2.33
1991,9,5,18.19,73.38,0.34
1991,9,6,17.4,70.69,1.16
1991,9,7,16.36,69.25,0.29
1991,9,8,17.03,72.75,0.59
1991,9,9,17.15,71.5,0.14
1991,9,10,16.85,69.56,0.01
1991,9,11,17.4,72.12,1.12
1991,9,12,17.46,75.56,1.88
1991,9,13,17.21,73.88,0.31
1991,9,14,17.27,79.56,2.4
1991,9,15,16.11,67.75,0.23
1991,9,16,16.91,69.56,1.33
1991,9,17,16.6,69.75,0.21
1991,9,18,17.52,77.75,11.23
1991,9,19,17.27,81.06,1.98
1991,9,20,16.97,78.56,4.39
1991,9,21,17.7,85.75,27.21
1991,9,22,18.49,86.75,44.18
1991,9,23,19.29,89.81,42.48
1991,9,24,18.62,80.5,3.75
1991,9,25,18.19,79.25,2.75
1991,9,26,17.94,79.19,0.31
1991,9,27,17.94,76.69,0
1991,9,28,18.07,78.19,0
1991,9,29,17.4,75.06,0
1991,9,30,15.87,69.19,0
1991,10,1,16.97,73.81,0.67
1991,10,2,17.64,78.88,0.08
1991,10,3,16.54,76.44,0.03
1991,10,4,14.65,75.5,3.53
1991,10,5,16.91,78.81,3.12
1991,10,6,17.76,78.38,0.17
1991,10,7,18.01,82,2.72
1991,10,8,17.76,80.81,20.31
1991,10,9,16.91,76,1.53
1991,10,10,16.42,79.19,2.55
1991,10,11,16.48,78.81,2.05
1991,10,12,16.48,80.38,0.43
1991,10,13,15.69,73.5,0
1991,10,14,15.14,70.88,0
1991,10,15,15.14,70.81,0.63
1991,10,16,15.99,75.94,0.45
1991,10,17,16.42,85.38,0.38
1991,10,18,16.6,81.56,0.17
1991,10,19,16.97,81.62,0.24
1991,10,20,16.66,78.31,0.07
1991,10,21,16.85,82.44,0.26
1991,10,22,16.48,80.75,3.13
1991,10,23,15.26,77.31,1.04
1991,10,24,12.76,70.38,0.01
1991,10,25,11.96,67.62,0.01
1991,10,26,13.24,68.75,0
1991,10,27,15.75,80.75,1.18
1991,10,28,17.15,84,2.19
1991,10,29,17.7,90.25,4.83
1991,10,30,17.33,91.75,6.91
1991,10,31,17.82,90.44,9.45
1991,11,1,19.1,94.31,7.32
1991,11,2,18.92,93.5,10.36
1991,11,3,17.21,90.81,4.42
1991,11,4,14.04,83.75,6.17
1991,11,5,11.41,72.88,0.19
1991,11,6,12.82,75.62,3.24
1991,11,7,15.44,84.56,3.25
1991,11,8,15.32,88.38,2.94
1991,11,9,15.38,86.19,6.73
1991,11,10,15.87,86.12,3.21
1991,11,11,14.83,82.81,0.2
1991,11,12,13.98,80.69,0.02
1991,11,13,13,77.38,0.13
1991,11,14,12.82,79.69,0.74
1991,11,15,13.85,91.75,6.09
1991,11,16,15.01,93.06,16.19
1991,11,17,16.42,92.38,17.49
1991,11,18,16.36,91.81,2.61
1991,11,19,15.87,86.94,0.93
1991,11,20,15.69,85.56,0.01
1991,11,21,15.56,85.88,0
1991,11,22,15.2,85.06,0.19
1991,11,23,13.37,82.25,0.18
1991,11,24,12.45,82.38,0
1991,11,25,11.11,78.62,0
1991,11,26,10.74,74.69,0
1991,11,27,10.93,76.19,0
1991,11,28,10.99,75.94,0
1991,11,29,11.72,76.38,0
1991,11,30,12.76,79.81,0
1991,12,1,13,79.88,0
1991,12,2,13.43,80.06,0
1991,12,3,12.63,78.5,0
1991,12,4,11.6,77.56,0
1991,12,5,10.99,75.62,0
1991,12,6,10.38,73.19,0
1991,12,7,10.25,70.62,0
1991,12,8,10.8,74.81,0
1991,12,9,11.11,75.12,0
1991,12,10,11.84,78,0
1991,12,11,11.84,78.69,0
1991,12,12,11.78,78.12,0
1991,12,13,11.66,78.94,0
1991,12,14,10.99,75.81,0.02
1991,12,15,10.07,74.94,0
1991,12,16,9.64,73.62,0.02
1991,12,17,9.95,69.25,0
1991,12,18,10.5,74.88,0
1991,12,19,10.62,74.25,0
1991,12,20,11.54,77.12,0
1991,12,21,11.11,73.94,0
1991,12,22,12.27,75.62,0
1991,12,23,12.76,74.94,0
1991,12,24,12.88,75.88,0
1991,12,25,13.49,75,0.76
1991,12,26,12.63,70.44,0.06
1991,12,27,11.72,69,0
1991,12,28,13.79,78.75,0.1
1991,12,29,13,77.62,0.81
1991,12,30,13.73,78.62,0.33
1991,12,31,13.98,79.06,1.99
1992,1,1,12.82,76.06,0.59
1992,1,2,10.25,71.69,0.26
1992,1,3,10.07,72.75,1.05
1992,1,4,7.87,59.06,0
1992,1,5,6.84,53.25,0.7
1992,1,6,6.23,47.62,0
1992,1,7,6.23,47.5,0
1992,1,8,7.26,54.81,0
1992,1,9,8.85,66.69,0
1992,1,10,9.83,71.88,0
1992,1,11,9.95,70.69,0
1992,1,12,9.58,67.94,0
1992,1,13,10.13,68.38,0
1992,1,14,11.05,72.44,0.79
1992,1,15,11.05,71.38,0
1992,1,16,11.05,71.31,0
1992,1,17,10.31,68.31,0
1992,1,18,9.83,66.06,0
1992,1,19,10.44,68,0
1992,1,20,9.95,65.25,0
1992,1,21,10.8,68,0
1992,1,22,11.35,68.25,0
1992,1,23,10.44,62.19,0
1992,1,24,10.31,61.56,0
1992,1,25,10.19,57.88,0
1992,1,26,9.77,59.25,0
1992,1,27,8.73,53,0
1992,1,28,8.48,51.06,0
1992,1,29,10.13,62.75,0
1992,1,30,10.44,65.62,0
1992,1,31,8.73,55.94,0
1992,2,1,8.73,52.94,0
1992,2,2,10.13,57.69,0
1992,2,3,12.08,62.69,0
1992,2,4,12.27,63.12,0
1992,2,5,12.45,65.38,0
1992,2,6,11.96,63.06,0
1992,2,7,11.41,58.25,0
1992,2,8,9.46,47.62,0
1992,2,9,8.36,42.75,0
1992,2,10,11.84,59.19,0
1992,2,11,11.84,58.88,0
1992,2,12,10.25,54.81,0
1992,2,13,10.62,58.38,0
1992,2,14,10.13,55.56,0
1992,2,15,10.62,57.25,0
